a,b,delta_nll_a_minus_b,ci_low,ci_high,relative_ppl_change_a_vs_b_percent,p_uncorrected,consistent_seeds,min_practical_delta_nll,passes_practical_effect,p_holm,statistically_supported_direction,supported_direction
alibi,rope,-0.09882522218486933,-0.10065655207788408,-0.09583436068322579,-9.409897441007645,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
alibi,nope,-0.21437962190298876,-0.21827825009782678,-0.20860342299008328,-19.295804394036267,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
alibi,learned,-0.35984008033714865,-0.3647697050072815,-0.35229226946290554,-30.221209284435734,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
alibi,sinusoidal,-1.4599763293494288,-1.4842860972108218,-1.4370312362824211,-76.77582280214706,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
