pe,mean_nll,seed_sd_nll,ppl_exp_mean_nll,mean_seed_ppl,conditional_ci_low,conditional_ci_high,documents,targets_per_seed,nll_seed_17,nll_seed_42,nll_seed_1234,nll_seed_2027,nll_seed_5003
learned,5.7939082894423475,0.00896755075447488,328.2935867007373,328.3041469340998,5.7770708607697365,5.811450226967925,309369,30583373,5.784423484335032,5.785249138869659,5.795017300708847,5.804706208754081,5.800145314544121
sinusoidal,6.894044538454628,0.02686500314207154,986.3828235762223,986.6671277120109,6.883095656145577,6.906413792511186,309369,30583373,6.862033230787713,6.9047254752619995,6.909362490876448,6.869706707266733,6.9243947880802486
rope,5.532893431290068,0.006336441950865586,252.87452859141027,252.8785920499037,5.513367930976076,5.554252684600449,309369,30583373,5.530509813708593,5.531849518690397,5.535121762419597,5.542099601018075,5.5248864606136765
alibi,5.434068209105199,0.006519221967532042,229.079294796527,229.0831954028703,5.413163613577037,5.458267287964006,309369,30583373,5.426962930956609,5.434294166581262,5.431719984102948,5.444655968285338,5.432707995599835
nope,5.648447831008188,0.005536000226615,283.8505397104769,283.85402703199935,5.629284274808849,5.667937077599135,309369,30583373,5.645815011905282,5.644183793401341,5.647272957133146,5.658119239528885,5.6468481530722805
