a,b,delta_nll_a_minus_b,ci_low,ci_high,relative_ppl_change_a_vs_b_percent,p_uncorrected,consistent_seeds,min_practical_delta_nll,passes_practical_effect,p_holm,statistically_supported_direction,supported_direction
learned,sinusoidal,-1.1001362490122801,-1.1211768800595152,-1.082878070637885,-66.71742665687562,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
learned,rope,0.2610148581522793,0.2564500061318503,0.26423863337182096,29.824695484133834,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
learned,alibi,0.35984008033714865,0.35229226946290554,0.3647697050072815,43.31002153308291,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
learned,nope,0.1454604584341599,0.1429587818687642,0.14826310550144692,15.657200101007977,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
sinusoidal,rope,1.3611511071645594,1.3406873635217935,1.3842971118558958,290.0680820131159,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
sinusoidal,alibi,1.4599763293494288,1.4370312362824211,1.4842860972108218,330.58576046881416,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
sinusoidal,nope,1.24559670744644,1.22599433772015,1.269198951188473,247.5007743801782,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
rope,alibi,0.09882522218486933,0.09583436068322579,0.10065655207788408,10.387335012541698,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
rope,nope,-0.11555439971811943,-0.11786055853290489,-0.11259819927709917,-10.912789227267858,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
alibi,nope,-0.21437962190298876,-0.21827825009782678,-0.20860342299008328,-19.295804394036267,9.999000099990002e-05,5,0.01,True,0.000999900009999,True,True
